time_ms,adc1,adc2,adc3,adc4,adc5
23,2122,2113,1681,1717,2113
100,2121,2112,1707,1723,2112
200,2122,2112,1681,1714,2112
300,2122,2112,1703,1714,2109
400,2122,2113,1654,1712,2112
500,2123,2112,1703,1712,2112
600,2123,2112,1697,1711,2112
701,2121,2112,1661,1709,2112
800,2123,2112,1681,1707,2112
900,2123,2113,1679,1711,2112
1000,2121,2113,1680,1707,2112
1100,2122,2112,1693,1707,2112
1200,2122,2112,1686,1701,2112
1300,2123,2113,1711,1705,2112
1401,2119,2112,1709,1710,2112
1500,2121,2113,1701,1696,2111
1600,2119,2113,1709,1703,2112
1700,2123,2113,1712,1705,2112
1800,2122,2113,1700,1695,2112
1900,2122,2112,1705,1693,2112
2000,2123,2113,1693,1697,2112
2101,2123,2112,1702,1701,2112
2200,2122,2112,1710,1694,2112
2300,2119,2113,1712,1693,2112
2400,2123,2113,1706,1698,2112
2500,2122,2112,1712,1691,2111
2600,2121,2112,1711,1693,2112
2700,2121,2112,1718,1692,2111
2800,2122,2112,1705,1689,2111
2900,2121,2112,1696,1689,2111
3000,2119,2112,1703,1687,2111
3101,2119,2112,1694,1682,2111
3200,145,2112,1699,1689,2113
3300,126,2113,1674,1691,2113
3400,122,2113,1648,1693,2113
3500,117,2114,1648,1693,2114
3600,115,2114,1645,1692,2114
3700,115,2114,1642,1689,2113
3800,116,2114,1657,1688,2114
3900,116,2115,1635,1692,2113
4000,115,2114,1600,1685,2113
4100,115,2113,1685,1683,2113
4200,115,2113,1658,1681,2113
4300,115,2113,1663,1674,2113
4400,115,2113,1632,1680,2114
4500,115,2114,1637,1683,2112
4600,115,2112,1606,1679,2112
4700,115,2112,1601,1680,2112
4801,116,2114,1535,1678,2113
4900,1620,2110,1412,1679,2112
5000,2125,2113,1577,1675,2112
5100,2123,2112,1591,1678,2111
5200,2123,2113,1591,1673,2112
5300,2123,2113,1611,1673,2112
5400,2123,2112,1596,1670,2112
5500,2123,2113,1604,1664,2112
5600,2125,2112,1605,1671,2112
